"Higo", 2412.42, 98
"Pepino", 29.54, 570
"Lima", 1220.86, 208
"Cebolla", 67.41, 808
"Durazno", 169.08, 936
"Lima", 1011.02, 240
"Repollo", 7.10, 833
"Melon", 111.98, 424
"Batata", 20.68, 1080
"Manzana", 146.56, 1020
"Naranja", 8.63, 810
"Choclo", 55.60, 258
"Palta", 1136.16, 432
"Durazno", 144.81, 808
"Durazno", 177.61, 696
"Sandia", 68.59, 891
"Rabanito", 212.64, 291
"Cebolla", 66.74, 856
"Brocoli", 370.12, 480
"Batata", 28.79, 1110
"Lechuga", 48.49, 954
"Lima", 1340.35, 212
"Higo", 2430.34, 115
"Kinoto", 42.79, 162
"Melon", 99.74, 388
"Coliflor", 22.58, 435
"Frambuesa", 2060.86, 85
"Mandarina", 20.08, 1070
"Brocoli", 344.12, 440
"Lechuga", 37.33, 765
"Mandarina", 16.58, 910
"Naranja", 17.27, 800
"Palta", 503.99, 475
"Pomelo", 43.34, 846
"Limon", 347.72, 637
"Caqui", 743.88, 101
"Naranja", 12.05, 920
"Higo", 2575.08, 83
"Pomelo", 52.92, 981
"Naranja", 15.72, 990
"Alcachofa", 118.81, 336
"Palta", 1091.11, 404
"Mandarina", 26.49, 1050
"Cereza", 995.72, 222
"Mandarina", 24.79, 890
"Mandarina", 16.41, 870
"Zuccini", 77.92, 552
"Pepino", 37.18, 425
"Manzana", 153.53, 1040
"Kiwi", 458.86, 420
"Durazno", 146.82, 856
"Calabaza", 14.74, 752
"Papa", 15.29, 1120
"Zanahoria", 35.75, 522
"Lima", 1400.13, 220
"Caqui", 826.75, 96
"Banana", 65.21, 1180
"Calabaza", 14.19, 760
"Lima", 1339.62, 204
"Kiwi", 461.93, 432
"Uva", 709.34, 327
"Durazno", 164.41, 752
"Banana", 55.41, 1170
"Mandarina", 15.42, 850
"Cebolla", 67.36, 912
"Pera", 150.17, 1160
"Rabanito", 223.52, 252
"Acelga", 28.40, 765
"Rabanito", 222.32, 291
"Cereza", 1034.15, 190
"Lima", 1208.62, 238
"Naranja", 18.64, 1170
"Melon", 93.20, 324
"Pera", 148.82, 1140
"Lima", 935.56, 222
"Ciruela", 956.58, 990
"Durazno", 162.46, 656
"Banana", 57.13, 970
"Banana", 77.51, 980
"Papa", 11.59, 960
"Manzana", 137.13, 890
"Kinoto", 36.96, 176
"Batata", 19.25, 940
"Kiwi", 455.23, 416
"Melon", 107.63, 332
"Zuccini", 104.05, 636
"Melon", 101.71, 356
"Uva", 703.26, 264
"Frutilla", 268.72, 336
"Cebolla", 85.91, 880
"Ajo", 917.01, 109
"Cereza", 1038.65, 210
"Frambuesa", 2037.91, 108
"Naranja", 6.94, 1110
"Zanahoria", 33.77, 510
"Durazno", 122.70, 672
"Choclo", 56.74, 240
"Naranja", 12.26, 1130
"Palta", 1086.48, 384
"Frambuesa", 2066.74, 98
"Calabaza", 27.98, 776
